epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
2.0,finite_single,0.8975499717189055,0.007138681622648133,3,0.0474564848785837,0.0012901592041444534,3,0.07168437451515293,0.002002436092847122,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
2.0,first_order_omp,0.9462722211585978,0.007044329998628924,3,0.026149254879617122,0.0024437252323119374,3,0.05185761790775429,0.0032312300819535896,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
2.0,lifted_omp,0.9978287442151806,0.00015764015201894248,3,0.008291586709873034,0.0002605877376652072,3,0.010435324247705121,0.0003208627976552221,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
2.0,multigain_atp,0.9462684184524769,0.007043622056421293,3,0.026152220511476934,0.0024446796704594275,3,0.051859477802010105,0.0032304211694528535,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
2.0,raw_atp,0.9459118759472221,0.0071668992225326425,3,0.02662950032533175,0.002184120445279234,3,0.05203003007487892,0.0033394922291747,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
2.0,scalar_cal_atp,0.9459120258972079,0.007166097317717108,3,0.026284208069579387,0.0023454168190979526,3,0.05202977792184132,0.0033177450136775734,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
2.0,subset_ridge,0.9278663547634084,0.008712752635127378,3,0.04171639209600969,0.0025417919563292756,3,0.06011088078342706,0.0037802613235756663,3,1.0,0.0,3,0.0,0.0,3,0.014909060812531677,0.01781038163592504,3
5.0,finite_single,0.6094748086174643,0.02299221589701241,3,0.09619687739339307,0.003962942650483382,3,0.15174636913600062,0.005950248908151146,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.7216421116262847,0.030327929686097533,3,0.057128622406774236,0.007098085036637619,3,0.12805266451549,0.008487121828162855,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.9979778870685818,8.679723317856859e-05,3,0.008600285423999746,0.0003253767169725262,3,0.010920485569409272,0.0003539248652148414,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
5.0,multigain_atp,0.7216352465268866,0.030327222316776124,3,0.057131256530803955,0.0070998878067528495,3,0.1280542558916477,0.008486844982393703,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.7110977432560603,0.032916651648484015,3,0.06446670532061476,0.005240069676973405,3,0.13044106969130145,0.008975080099863482,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.714454608390971,0.03241773445644682,3,0.06223515780294133,0.005600400333588997,3,0.12968336903454739,0.008908098603396229,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,0.6230899979086263,0.04225566634318589,3,0.10175014056703448,0.006314185064025179,3,0.1489747813683884,0.009461265179953745,3,1.0,0.0,3,0.0,0.0,3,0.03817503699221076,0.04716808331888932,3
8.0,finite_single,0.3706016193233788,0.0263246955229132,3,0.12938051474243545,0.007687880015288634,3,0.2236346908988578,0.011182715539561086,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.47285259414948655,0.039156834095202174,3,0.0888532132777738,0.011963749303803426,3,0.20467203683984705,0.013714460898613516,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.9982885876976241,4.134447762843041e-05,3,0.009154093186836505,0.0003871909453310808,3,0.011659094303156864,0.0004179858612287206,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.47284584924749645,0.039155707541078374,3,0.08885494550593283,0.01196503312600046,3,0.20467334935077308,0.013714258335455925,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.4446383460007805,0.04633619716826238,3,0.1042800443171959,0.008396278841331657,3,0.21005230654558313,0.014634985324225674,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.45524629040530035,0.044631458519378116,3,0.10005145582698415,0.009065096432164532,3,0.2080457520073683,0.014514181522962112,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,0.28393661345232746,0.0691294434196476,3,0.16242464245752833,0.00998974565293268,3,0.2383674730604989,0.015097560100995335,3,1.0,0.0,3,0.0,0.0,3,0.06133986465497182,0.07649320165669904,3
